20000 simulations, 1000 steps.
Step	 DIST^2 
0	0.000000
1	0.497475
2	0.990814
3	1.500302
4	2.019710
5	2.527933
6	3.009139
7	3.519273
8	4.009300
9	4.488729
10	4.976329
11	5.446195
12	5.974122
13	6.454922
14	6.962858
15	7.452700
16	7.932671
17	8.474902
18	8.987732
19	9.475860
20	10.032042
21	10.516031
22	10.972850
23	11.489093
24	12.000568
25	12.458959
26	12.948662
27	13.441130
28	13.934700
29	14.457918
30	14.929117
31	15.383483
32	15.894121
33	16.433276
34	16.976185
35	17.495133
36	17.952499
37	18.452099
38	18.956665
39	19.450301
40	19.981264
41	20.487408
42	20.983834
43	21.488328
44	21.984121
45	22.472220
46	22.961834
47	23.510087
48	24.058889
49	24.504769
50	24.967496
51	25.480575
52	25.938408
53	26.436263
54	26.900476
55	27.436839
56	27.969738
57	28.469191
58	28.954344
59	29.379580
60	29.859906
61	30.362290
62	30.861732
63	31.383282
64	31.885056
65	32.346705
66	32.808374
67	33.274400
68	33.809541
69	34.272763
70	34.733052
71	35.237060
72	35.745092
73	36.289861
74	36.818781
75	37.298048
76	37.852076
77	38.424513
78	38.891222
79	39.367736
80	39.849421
81	40.292336
82	40.784849
83	41.313534
84	41.938313
85	42.317071
86	42.828247
87	43.305582
88	43.814321
89	44.290933
90	44.787019
91	45.254298
92	45.790763
93	46.281018
94	46.818430
95	47.267776
96	47.789355
97	48.257584
98	48.785315
99	49.210755
100	49.703299
101	50.297250
102	50.755973
103	51.255837
104	51.639088
105	52.137595
106	52.598123
107	53.073483
108	53.538768
109	54.052793
110	54.517200
111	55.002265
112	55.449313
113	55.994204
114	56.588419
115	57.106442
116	57.612351
117	58.031950
118	58.556363
119	59.023702
120	59.528001
121	60.019316
122	60.491255
123	61.068224
124	61.648477
125	62.111553
126	62.616977
127	63.142862
128	63.664383
129	64.222990
130	64.823730
131	65.307423
132	65.851544
133	66.219137
134	66.647172
135	67.088787
136	67.538569
137	67.905297
138	68.446284
139	69.030676
140	69.579351
141	70.014366
142	70.486858
143	70.995654
144	71.498891
145	71.961287
146	72.390928
147	72.868280
148	73.510239
149	73.935467
150	74.266945
151	74.830582
152	75.355953
153	75.877947
154	76.380834
155	76.930160
156	77.375924
157	77.984872
158	78.500361
159	79.122330
160	79.643351
161	80.252094
162	80.730865
163	81.242014
164	81.749568
165	82.281910
166	82.854412
167	83.364704
168	83.913623
169	84.470526
170	85.096715
171	85.664059
172	86.218721
173	86.744890
174	87.308521
175	87.863692
176	88.409999
177	88.986077
178	89.580148
179	90.034652
180	90.593887
181	91.093213
182	91.451052
183	91.907462
184	92.448562
185	93.172844
186	93.651223
187	94.250665
188	94.826172
189	95.153554
190	95.653582
191	96.138169
192	96.560754
193	97.130096
194	97.501905
195	98.018949
196	98.502410
197	99.070229
198	99.632038
199	100.035560
200	100.611931
201	101.121093
202	101.509432
203	102.033711
204	102.568153
205	103.010884
206	103.538930
207	103.980694
