1 = STABLE_STATE, 0 = EXCITED_STATE
Step	 X 	 Y 	 d 	 state 
0	-0.2587	-1.8190	1.8373	0
1	-0.5173	-1.3910	1.4841	0
2	-0.5173	-1.3910	1.4841	0
3	-0.9843	-1.2125	1.5617	0
4	-0.9843	-1.2125	1.5617	0
5	-0.9843	-1.2125	1.5617	0
6	-1.0649	-0.7190	1.2849	0
7	-0.5791	-0.6008	0.8345	0
8	-0.4800	-1.0909	1.1918	0
9	-0.4800	-1.0909	1.1918	0
10	-0.6512	-0.6211	0.8999	0
11	-0.4603	-0.1590	0.4870	1
12	-0.1604	-0.5591	0.5816	1
13	0.1139	-0.1410	0.1813	1
14	0.1139	-0.1410	0.1813	1
15	0.1139	-0.1410	0.1813	1
16	0.1139	-0.1410	0.1813	1
17	-0.0578	-0.6106	0.6133	1
18	-0.2936	-1.0516	1.0918	0
19	-0.2936	-1.0516	1.0918	0
20	-0.4966	-0.5946	0.7747	0
21	-0.9849	-0.7022	1.2096	0
22	-1.4678	-0.5725	1.5755	0
23	-1.1179	-0.9297	1.4540	0
24	-1.4405	-0.5476	1.5411	0
25	-1.4405	-0.5476	1.5411	0
26	-1.4405	-0.5476	1.5411	0
27	-1.1992	-0.1097	1.2042	0
28	-1.5910	-0.4204	1.6456	0
29	-1.6723	-0.9137	1.9056	0
30	-1.6723	-0.9137	1.9056	0
31	-1.6723	-0.9137	1.9056	0
32	-1.2462	-0.6521	1.4065	0
33	-0.7629	-0.7802	1.0912	0
34	-0.2678	-0.8502	0.8913	0
35	0.0559	-0.4691	0.4724	1
36	-0.0030	0.0274	0.0276	1
37	-0.3039	-0.3719	0.4803	1
38	0.0271	0.0029	0.0272	1
39	0.0271	0.0029	0.0272	1
40	0.0271	0.0029	0.0272	1
41	-0.4130	-0.2344	0.4749	1
42	-0.5782	0.2375	0.6251	1
43	-0.2442	0.6096	0.6567	1
44	-0.2244	1.1092	1.1317	0
45	0.2755	1.1196	1.1530	0
46	-0.2232	1.1559	1.1772	0
47	-0.5608	1.5247	1.6245	0
48	-0.9186	1.1754	1.4918	0
49	-0.4857	1.4255	1.5060	0
50	-0.4857	1.4255	1.5060	0
51	-0.4857	1.4255	1.5060	0
52	-0.3259	0.9518	1.0060	0
53	-0.4539	1.4351	1.5052	0
54	0.0435	1.4867	1.4873	0
55	-0.4535	1.4320	1.5021	0
56	-0.4535	1.4320	1.5021	0
57	0.0293	1.5619	1.5622	0
58	0.0293	1.5619	1.5622	0
59	0.4057	1.8911	1.9341	0
60	0.4057	1.8911	1.9341	0
61	0.5077	1.4016	1.4907	0
62	0.5077	1.4016	1.4907	0
63	0.5077	1.4016	1.4907	0
64	0.0107	1.3473	1.3473	0
65	-0.4559	1.1676	1.2535	0
66	-0.4559	1.1676	1.2535	0
67	-0.6914	1.6087	1.7510	0
68	-0.6914	1.6087	1.7510	0
69	-0.9953	1.2117	1.5681	0
70	-0.9953	1.2117	1.5681	0
71	-1.3107	0.8237	1.5480	0
72	-1.5693	0.3958	1.6184	0
73	-1.1613	0.1067	1.1662	0
74	-1.4457	0.5180	1.5357	0
75	-1.0323	0.7992	1.3055	0
76	-1.0323	0.7992	1.3055	0
77	-1.5323	0.8014	1.7292	0
78	-1.2679	1.2257	1.7635	0
79	-1.6129	0.8638	1.8296	0
80	-1.6129	0.8638	1.8296	0
81	-1.6129	0.8638	1.8296	0
82	-1.6942	0.3705	1.7342	0
83	-1.6942	0.3705	1.7342	0
84	-1.3893	0.7668	1.5869	0
85	-1.7490	0.4194	1.7986	0
86	-1.7490	0.4194	1.7986	0
87	-1.5484	-0.0386	1.5489	0
88	-1.5484	-0.0386	1.5489	0
89	-1.9738	-0.3013	1.9967	0
90	-1.9738	-0.3013	1.9967	0
91	-1.5248	-0.5211	1.6114	0
92	-1.2298	-0.1174	1.2354	0
93	-1.2106	-0.6170	1.3588	0
94	-0.8913	-1.0018	1.3409	0
95	-0.4123	-1.1452	1.2171	0
96	-0.4123	-1.1452	1.2171	0
97	-0.5399	-1.6286	1.7158	0
98	-0.5399	-1.6286	1.7158	0
99	-0.3078	-1.1857	1.2250	0
100	-0.0122	-1.5890	1.5890	0
101	0.4793	-1.6807	1.7477	0
102	0.4793	-1.6807	1.7477	0
103	0.4793	-1.6807	1.7477	0
104	0.4793	-1.6807	1.7477	0
105	0.4793	-1.6807	1.7477	0
106	0.0799	-1.3800	1.3823	0
107	0.1187	-0.8815	0.8895	0
108	0.4646	-1.2426	1.3266	0
109	0.3324	-0.7604	0.8299	0
110	0.6920	-1.1078	1.3062	0
111	0.6920	-1.1078	1.3062	0
112	0.6920	-1.1078	1.3062	0
113	0.9156	-1.5550	1.8046	0
114	0.9156	-1.5550	1.8046	0
115	0.9156	-1.5550	1.8046	0
116	0.9156	-1.5550	1.8046	0
117	0.4388	-1.4043	1.4713	0
118	-0.0348	-1.2441	1.2446	0
119	0.4564	-1.3376	1.4133	0
120	0.4564	-1.3376	1.4133	0
121	0.4378	-0.8380	0.9454	0
122	0.7186	-1.2516	1.4433	0
123	1.0384	-1.6360	1.9377	0
124	0.7445	-1.2315	1.4391	0
125	0.3200	-0.9673	1.0189	0
126	0.5009	-1.4334	1.5184	0
127	0.0519	-1.6534	1.6542	0
128	0.5461	-1.7291	1.8133	0
129	0.8275	-1.3158	1.5544	0
130	0.8275	-1.3158	1.5544	0
131	0.8275	-1.3158	1.5544	0
132	1.3262	-1.2792	1.8426	0
133	1.3262	-1.2792	1.8426	0
134	1.6444	-0.8935	1.8714	0
135	1.6444	-0.8935	1.8714	0
136	1.3065	-0.5249	1.4080	0
137	1.5436	-0.0847	1.5459	0
138	1.0821	0.1077	1.0874	0
139	1.0821	0.1077	1.0874	0
140	1.0821	0.1077	1.0874	0
141	1.0821	0.1077	1.0874	0
142	1.5534	-0.0593	1.5545	0
143	1.4352	0.4265	1.4972	0
144	1.4352	0.4265	1.4972	0
145	1.6872	-0.0053	1.6872	0
146	1.5745	0.4818	1.6466	0
147	1.5745	0.4818	1.6466	0
148	1.6593	0.9746	1.9244	0
