TOTAL_STEP=1000	 SINGLE_STEP=0.500000
DATA NOT SAVED!
INDEX	 COUNT	 POSSIBILITY
0	0	0.0000
1	0	0.0000
2	0	0.0000
3	0	0.0000
4	0	0.0000
5	0	0.0000
6	0	0.0000
7	0	0.0000
8	0	0.0000
9	0	0.0000
10	0	0.0000
11	1	0.0833
12	2	0.1538
13	3	0.2143
14	4	0.2667
15	5	0.3125
16	6	0.3529
17	7	0.3889
18	7	0.3684
19	7	0.3500
20	7	0.3333
21	7	0.3182
22	7	0.3043
23	7	0.2917
24	7	0.2800
25	7	0.2692
26	7	0.2593
27	7	0.2500
28	7	0.2414
29	7	0.2333
30	7	0.2258
31	7	0.2188
32	7	0.2121
33	7	0.2059
34	7	0.2000
35	8	0.2222
36	9	0.2432
37	10	0.2632
38	11	0.2821
39	12	0.3000
40	13	0.3171
41	14	0.3333
42	15	0.3488
43	16	0.3636
44	16	0.3556
45	16	0.3478
46	16	0.3404
47	16	0.3333
48	16	0.3265
49	16	0.3200
50	16	0.3137
51	16	0.3077
52	16	0.3019
53	16	0.2963
54	16	0.2909
55	16	0.2857
56	16	0.2807
57	16	0.2759
58	16	0.2712
59	16	0.2667
60	16	0.2623
61	16	0.2581
62	16	0.2540
63	16	0.2500
64	16	0.2462
65	16	0.2424
66	16	0.2388
67	16	0.2353
68	16	0.2319
69	16	0.2286
70	16	0.2254
71	16	0.2222
72	16	0.2192
73	16	0.2162
74	16	0.2133
75	16	0.2105
76	16	0.2078
77	16	0.2051
78	16	0.2025
79	16	0.2000
80	16	0.1975
81	16	0.1951
82	16	0.1928
83	16	0.1905
84	16	0.1882
85	16	0.1860
86	16	0.1839
87	16	0.1818
88	16	0.1798
89	16	0.1778
90	16	0.1758
91	16	0.1739
92	16	0.1720
93	16	0.1702
94	16	0.1684
95	16	0.1667
96	16	0.1649
97	16	0.1633
98	16	0.1616
99	16	0.1600
100	16	0.1584
101	16	0.1569
102	16	0.1553
103	16	0.1538
104	16	0.1524
105	16	0.1509
106	16	0.1495
107	16	0.1481
108	16	0.1468
109	16	0.1455
110	16	0.1441
111	16	0.1429
112	16	0.1416
113	16	0.1404
114	16	0.1391
115	16	0.1379
116	16	0.1368
117	16	0.1356
118	16	0.1345
119	16	0.1333
120	16	0.1322
121	16	0.1311
122	16	0.1301
123	16	0.1290
124	16	0.1280
125	16	0.1270
126	16	0.1260
127	16	0.1250
128	16	0.1240
129	16	0.1231
130	16	0.1221
131	16	0.1212
132	16	0.1203
133	16	0.1194
134	16	0.1185
135	16	0.1176
136	16	0.1168
137	16	0.1159
138	16	0.1151
139	16	0.1143
140	16	0.1135
141	16	0.1127
142	16	0.1119
143	16	0.1111
144	16	0.1103
145	16	0.1096
146	16	0.1088
147	16	0.1081
148	16	0.1074
149	16	0.1067
150	16	0.1060
151	16	0.1053
152	16	0.1046
153	16	0.1039
154	16	0.1032
155	17	0.1090
156	18	0.1146
157	19	0.1203
158	20	0.1258
159	21	0.1313
160	22	0.1366
161	22	0.1358
162	22	0.1350
163	22	0.1341
164	22	0.1333
165	22	0.1325
166	22	0.1317
167	22	0.1310
168	22	0.1302
169	22	0.1294
170	22	0.1287
171	22	0.1279
172	22	0.1272
173	22	0.1264
174	22	0.1257
175	22	0.1250
176	22	0.1243
177	22	0.1236
178	22	0.1229
179	22	0.1222
180	22	0.1215
181	22	0.1209
182	23	0.1257
183	24	0.1304
184	25	0.1351
185	26	0.1398
186	27	0.1444
187	28	0.1489
188	29	0.1534
189	30	0.1579
190	31	0.1623
191	32	0.1667
192	33	0.1710
193	34	0.1753
194	35	0.1795
195	36	0.1837
196	37	0.1878
197	38	0.1919
198	39	0.1960
199	40	0.2000
200	41	0.2040
201	42	0.2079
202	43	0.2118
203	44	0.2157
204	45	0.2195
205	46	0.2233
206	47	0.2271
207	47	0.2260
208	47	0.2249
209	47	0.2238
210	47	0.2227
211	47	0.2217
212	47	0.2207
213	47	0.2196
214	47	0.2186
215	47	0.2176
216	47	0.2166
217	47	0.2156
218	47	0.2146
219	47	0.2136
220	47	0.2127
221	47	0.2117
222	47	0.2108
223	47	0.2098
224	47	0.2089
225	47	0.2080
226	47	0.2070
227	47	0.2061
228	47	0.2052
229	47	0.2043
230	47	0.2035
231	47	0.2026
232	47	0.2017
233	47	0.2009
234	47	0.2000
235	47	0.1992
236	47	0.1983
237	47	0.1975
238	47	0.1967
239	47	0.1958
240	47	0.1950
241	48	0.1983
242	49	0.2016
243	50	0.2049
244	51	0.2082
245	52	0.2114
246	53	0.2146
247	53	0.2137
248	53	0.2129
249	53	0.2120
250	53	0.2112
251	53	0.2103
252	53	0.2095
253	53	0.2087
254	53	0.2078
255	53	0.2070
256	54	0.2101
257	54	0.2093
258	55	0.2124
259	55	0.2115
260	55	0.2107
261	55	0.2099
262	55	0.2091
263	55	0.2083
264	56	0.2113
265	56	0.2105
266	56	0.2097
267	56	0.2090
268	56	0.2082
269	56	0.2074
270	56	0.2066
271	56	0.2059
272	56	0.2051
273	56	0.2044
274	56	0.2036
275	56	0.2029
276	56	0.2022
277	56	0.2014
278	56	0.2007
279	56	0.2000
280	56	0.1993
281	56	0.1986
282	57	0.2014
283	58	0.2042
284	59	0.2070
285	59	0.2063
286	60	0.2091
287	61	0.2118
288	61	0.2111
289	61	0.2103
290	61	0.2096
291	61	0.2089
292	61	0.2082
293	61	0.2075
294	61	0.2068
295	61	0.2061
296	61	0.2054
297	61	0.2047
298	61	0.2040
299	61	0.2033
300	61	0.2027
301	61	0.2020
302	62	0.2046
303	63	0.2072
304	63	0.2066
305	63	0.2059
306	63	0.2052
307	63	0.2045
308	63	0.2039
309	63	0.2032
310	63	0.2026
311	63	0.2019
312	63	0.2013
313	63	0.2006
314	63	0.2000
315	63	0.1994
316	63	0.1987
317	63	0.1981
