Simulated by ISING, VERSION 1
filename = result_of_ISING_0.6
step = 1500000
mutual_coefficient = 1
temperature = 0.6
STEP	MAGNETISM	ENERGY	1ST_STD_ERROR	2ND_STD_ERROR
0	5067	-5189	0	0
1	5065	-5193	0	0
2	5063	-5195	0	0
3	5063	-5195	0	0
4	5061	-5197	0	0
5	5059	-5199	0	0
6	5057	-5199	0	0
7	5055	-5201	0	0
8	5053	-5203	0	0
9	5051	-5205	0	0
10	5051	-5205	0	0
11	5049	-5209	0	0
12	5047	-5215	0	0
13	5047	-5215	0	0
14	5045	-5215	0	0
15	5045	-5215	0	0
16	5043	-5219	0	0
17	5043	-5219	0	0
18	5043	-5219	0	0
19	5043	-5219	0	0
20	5043	-5219	0	0
21	5043	-5219	0	0
22	5041	-5223	0	0
23	5039	-5229	0	0
24	5039	-5229	0	0
25	5037	-5235	0	0
26	5035	-5239	0	0
27	5035	-5239	0	0
28	5035	-5239	0	0
29	5035	-5239	0	0
30	5035	-5239	0	0
31	5035	-5239	0	0
32	5035	-5239	0	0
33	5033	-5245	0	0
34	5033	-5245	0	0
35	5033	-5245	0	0
36	5033	-5245	0	0
37	5031	-5247	0	0
38	5029	-5251	0	0
39	5029	-5251	0	0
40	5027	-5255	0	0
41	5025	-5259	0	0
42	5025	-5259	0	0
43	5023	-5265	0	0
44	5023	-5265	0	0
45	5023	-5265	0	0
46	5023	-5265	0	0
47	5021	-5267	0	0
48	5021	-5267	0	0
49	5021	-5267	0	0
50	5021	-5267	0	0
51	5019	-5271	0	0
52	5017	-5275	0	0
53	5017	-5275	0	0
54	5017	-5275	0	0
55	5015	-5281	0	0
56	5013	-5285	0	0
57	5011	-5287	0	0
58	5011	-5287	0	0
59	5011	-5287	0	0
60	5009	-5293	0	0
61	5007	-5295	0	0
62	5007	-5295	0	0
63	5007	-5295	0	0
64	5005	-5299	0	0
65	5003	-5303	0	0
66	5003	-5303	0	0
67	5003	-5303	0	0
68	5003	-5303	0	0
69	5003	-5303	0	0
70	5001	-5307	0	0
71	4999	-5313	0	0
72	4997	-5315	0	0
73	4995	-5319	0	0
74	4995	-5319	0	0
75	4995	-5319	0	0
76	4995	-5319	0	0
77	4995	-5319	0	0
78	4995	-5319	0	0
79	4993	-5323	0	0
80	4991	-5323	0	0
81	4989	-5327	0	0
82	4987	-5331	0	0
83	4987	-5331	0	0
84	4985	-5333	0	0
85	4985	-5333	0	0
86	4985	-5333	0	0
87	4983	-5333	0	0
88	4983	-5333	0	0
89	4981	-5335	0	0
90	4981	-5335	0	0
91	4979	-5339	0	0
92	4977	-5341	0	0
93	4977	-5341	0	0
94	4977	-5341	0	0
95	4977	-5341	0	0
96	4977	-5341	0	0
97	4977	-5341	0	0
98	4977	-5341	0	0
99	4977	-5341	0	0
100	4977	-5341	0	0
101	4977	-5341	0	0
102	4975	-5347	0	0
103	4973	-5347	0	0
104	4971	-5349	0	0
105	4969	-5357	0	0
106	4969	-5357	0	0
107	4967	-5359	0	0
108	4965	-5363	0	0
109	4965	-5363	0	0
110	4965	-5363	0	0
111	4965	-5363	0	0
112	4963	-5367	0	0
113	4963	-5367	0	0
114	4963	-5367	0	0
115	4961	-5371	0	0
116	4961	-5371	0	0
117	4961	-5371	0	0
118	4959	-5375	0	0
119	4957	-5377	0	0
120	4957	-5377	0	0
121	4955	-5379	0	0
122	4955	-5379	0	0
123	4955	-5379	0	0
124	4955	-5379	0	0
125	4953	-5381	0	0
126	4951	-5383	0	0
127	4951	-5383	0	0
128	4949	-5385	0	0
129	4949	-5385	0	0
130	4947	-5389	0	0
131	4947	-5389	0	0
132	4945	-5393	0	0
133	4943	-5397	0	0
134	4941	-5401	0	0
135	4939	-5403	0	0
136	4939	-5403	0	0
137	4937	-5407	0	0
138	4937	-5407	0	0
139	4935	-5413	0	0
140	4933	-5413	0	0
141	4931	-5417	0	0
142	4929	-5421	0	0
143	4927	-5423	0	0
144	4925	-5425	0	0
145	4925	-5425	0	0
146	4925	-5425	0	0
147	4925	-5425	0	0
