Simulated by ISING, VERSION 1
filename = result_of_ISING_0
step = 1500000
mutual_coefficient = 1
temperature = 0
STEP	MAGNETISM	ENERGY	1ST_STD_ERROR	2ND_STD_ERROR
0	5082	-5208	0	0
1	5080	-5210	0	0
2	5080	-5210	0	0
3	5078	-5214	0	0
4	5076	-5218	0	0
5	5074	-5224	0	0
6	5072	-5228	0	0
7	5072	-5228	0	0
8	5072	-5228	0	0
9	5072	-5228	0	0
10	5070	-5232	0	0
11	5068	-5236	0	0
12	5066	-5242	0	0
13	5064	-5244	0	0
14	5064	-5244	0	0
15	5064	-5244	0	0
16	5064	-5244	0	0
17	5064	-5244	0	0
18	5064	-5244	0	0
19	5062	-5250	0	0
20	5062	-5250	0	0
21	5060	-5254	0	0
22	5060	-5254	0	0
23	5058	-5260	0	0
24	5058	-5260	0	0
25	5056	-5264	0	0
26	5054	-5270	0	0
27	5054	-5270	0	0
28	5052	-5276	0	0
29	5052	-5276	0	0
30	5052	-5276	0	0
31	5052	-5276	0	0
32	5052	-5276	0	0
33	5052	-5276	0	0
34	5052	-5276	0	0
35	5050	-5280	0	0
36	5050	-5280	0	0
37	5050	-5280	0	0
38	5050	-5280	0	0
39	5050	-5280	0	0
40	5048	-5280	0	0
41	5048	-5280	0	0
42	5048	-5280	0	0
43	5046	-5286	0	0
44	5044	-5288	0	0
45	5042	-5294	0	0
46	5040	-5298	0	0
47	5038	-5304	0	0
48	5038	-5304	0	0
49	5036	-5308	0	0
50	5036	-5308	0	0
51	5036	-5308	0	0
52	5034	-5312	0	0
53	5034	-5312	0	0
54	5034	-5312	0	0
55	5032	-5318	0	0
56	5030	-5326	0	0
57	5028	-5332	0	0
58	5026	-5338	0	0
59	5024	-5342	0	0
60	5022	-5344	0	0
61	5022	-5344	0	0
62	5022	-5344	0	0
63	5022	-5344	0	0
64	5020	-5346	0	0
65	5018	-5350	0	0
66	5016	-5356	0	0
67	5016	-5356	0	0
68	5016	-5356	0	0
69	5014	-5360	0	0
70	5012	-5360	0	0
71	5010	-5362	0	0
72	5008	-5364	0	0
73	5006	-5366	0	0
74	5004	-5368	0	0
75	5004	-5368	0	0
76	5002	-5370	0	0
77	5002	-5370	0	0
78	5000	-5372	0	0
79	4998	-5380	0	0
80	4996	-5386	0	0
81	4996	-5386	0	0
82	4996	-5386	0	0
83	4996	-5386	0	0
84	4996	-5386	0	0
85	4996	-5386	0	0
86	4994	-5388	0	0
87	4994	-5388	0	0
88	4992	-5396	0	0
89	4992	-5396	0	0
90	4990	-5400	0	0
91	4990	-5400	0	0
92	4988	-5404	0	0
93	4986	-5406	0	0
94	4984	-5414	0	0
95	4982	-5416	0	0
96	4982	-5416	0	0
97	4982	-5416	0	0
98	4980	-5420	0	0
99	4978	-5426	0	0
100	4976	-5428	0	0
101	4976	-5428	0	0
102	4976	-5428	0	0
103	4974	-5432	0	0
104	4974	-5432	0	0
105	4972	-5440	0	0
106	4972	-5440	0	0
107	4972	-5440	0	0
108	4972	-5440	0	0
109	4970	-5444	0	0
110	4968	-5448	0	0
111	4966	-5450	0	0
112	4966	-5450	0	0
113	4964	-5454	0	0
114	4964	-5454	0	0
115	4962	-5458	0	0
116	4960	-5464	0	0
117	4960	-5464	0	0
118	4958	-5468	0	0
119	4956	-5474	0	0
120	4956	-5474	0	0
121	4954	-5474	0	0
122	4952	-5478	0	0
123	4950	-5478	0	0
124	4950	-5478	0	0
125	4948	-5482	0	0
126	4946	-5488	0	0
127	4944	-5492	0	0
128	4944	-5492	0	0
129	4944	-5492	0	0
130	4944	-5492	0	0
131	4944	-5492	0	0
132	4942	-5494	0	0
133	4940	-5496	0	0
134	4942	-5492	0	0
