Simulated by ISING, VERSION 1
filename = new_result
step = 10000
mutual_coefficient = 1
temperature = 1
STEP	MAGNETISM	ENERGY	1ST_STD_ERROR	2ND_STD_ERROR
0	4991	-4952	0	0
1	4991	-4952	0	0
2	4991	-4952	0	0
3	4989	-4956	0	0
4	4989	-4956	0	0
5	4989	-4956	0	0
6	4987	-4962	0	0
7	4987	-4962	0	0
8	4987	-4962	0	0
9	4985	-4966	0	0
10	4983	-4972	0	0
11	4981	-4976	0	0
12	4979	-4978	0	0
13	4977	-4982	0	0
14	4975	-4988	0	0
15	4973	-4990	0	0
16	4971	-4992	0	0
17	4969	-4996	0	0
18	4969	-4996	0	0
19	4969	-4996	0	0
20	4967	-5002	0	0
21	4965	-5006	0	0
22	4963	-5010	0	0
23	4963	-5010	0	0
24	4961	-5016	0	0
25	4959	-5020	0	0
26	4959	-5020	0	0
27	4959	-5020	0	0
28	4959	-5020	0	0
29	4959	-5020	0	0
30	4959	-5020	0	0
31	4959	-5020	0	0
32	4959	-5020	0	0
33	4957	-5022	0	0
34	4955	-5028	0	0
35	4955	-5028	0	0
36	4955	-5028	0	0
37	4953	-5032	0	0
38	4953	-5032	0	0
39	4953	-5032	0	0
40	4953	-5032	0	0
41	4951	-5036	0	0
42	4951	-5036	0	0
43	4949	-5038	0	0
44	4949	-5038	0	0
45	4947	-5044	0	0
46	4947	-5044	0	0
47	4945	-5050	0	0
48	4945	-5050	0	0
49	4943	-5052	0	0
50	4943	-5052	0	0
51	4941	-5052	0	0
52	4939	-5058	0	0
53	4939	-5058	0	0
54	4937	-5064	0	0
55	4937	-5064	0	0
56	4935	-5068	0	0
57	4935	-5068	0	0
58	4935	-5068	0	0
59	4935	-5068	0	0
60	4933	-5072	0	0
61	4931	-5074	0	0
62	4929	-5078	0	0
63	4929	-5078	0	0
64	4929	-5078	0	0
65	4927	-5078	0	0
66	4927	-5078	0	0
67	4927	-5078	0	0
68	4927	-5078	0	0
69	4927	-5078	0	0
70	4925	-5084	0	0
71	4923	-5090	0	0
72	4921	-5096	0	0
73	4919	-5100	0	0
74	4917	-5102	0	0
75	4915	-5106	0	0
76	4913	-5112	0	0
77	4913	-5112	0	0
78	4913	-5112	0	0
79	4913	-5112	0	0
80	4911	-5112	0	0
81	4909	-5112	0	0
82	4907	-5114	0	0
83	4907	-5114	0	0
84	4907	-5114	0	0
85	4905	-5116	0	0
86	4903	-5120	0	0
87	4901	-5120	0	0
88	4899	-5122	0	0
89	4899	-5122	0	0
90	4899	-5122	0	0
91	4899	-5122	0	0
92	4897	-5124	0	0
93	4897	-5124	0	0
94	4897	-5124	0	0
95	4895	-5130	0	0
96	4893	-5136	0	0
97	4891	-5140	0	0
98	4889	-5144	0	0
99	4889	-5144	0	0
100	4889	-5144	0	0
101	4887	-5150	0	0
102	4887	-5150	0	0
103	4885	-5154	0	0
104	4885	-5154	0	0
