Simulated by ISING, VERSION 1
filename = result_of_ISING_0.7
step = 1500000
mutual_coefficient = 1
temperature = 0.7
STEP	MAGNETISM	ENERGY	1ST_STD_ERROR	2ND_STD_ERROR
0	4952	-4869	0	0
1	4952	-4869	0	0
2	4950	-4871	0	0
3	4948	-4873	0	0
4	4948	-4873	0	0
5	4948	-4873	0	0
6	4948	-4873	0	0
7	4948	-4873	0	0
8	4948	-4873	0	0
9	4946	-4877	0	0
10	4946	-4877	0	0
11	4944	-4881	0	0
12	4944	-4881	0	0
13	4942	-4883	0	0
14	4942	-4883	0	0
15	4942	-4883	0	0
16	4942	-4883	0	0
17	4940	-4887	0	0
18	4938	-4893	0	0
19	4936	-4895	0	0
20	4936	-4895	0	0
21	4934	-4901	0	0
22	4932	-4905	0	0
23	4932	-4905	0	0
24	4930	-4911	0	0
25	4928	-4915	0	0
26	4928	-4915	0	0
27	4928	-4915	0	0
28	4928	-4915	0	0
29	4928	-4915	0	0
30	4928	-4915	0	0
31	4928	-4915	0	0
32	4928	-4915	0	0
33	4926	-4919	0	0
34	4924	-4923	0	0
35	4924	-4923	0	0
36	4924	-4923	0	0
37	4922	-4929	0	0
38	4922	-4929	0	0
39	4920	-4935	0	0
40	4918	-4937	0	0
41	4918	-4937	0	0
42	4916	-4943	0	0
43	4916	-4943	0	0
44	4914	-4951	0	0
45	4912	-4957	0	0
46	4912	-4957	0	0
47	4912	-4957	0	0
48	4910	-4965	0	0
49	4908	-4967	0	0
50	4908	-4967	0	0
51	4908	-4967	0	0
52	4906	-4975	0	0
53	4906	-4975	0	0
54	4906	-4975	0	0
55	4904	-4977	0	0
56	4904	-4977	0	0
57	4904	-4977	0	0
58	4904	-4977	0	0
59	4904	-4977	0	0
60	4904	-4977	0	0
61	4902	-4983	0	0
62	4902	-4983	0	0
63	4902	-4983	0	0
64	4902	-4983	0	0
65	4902	-4983	0	0
66	4902	-4983	0	0
67	4900	-4987	0	0
68	4900	-4987	0	0
69	4900	-4987	0	0
70	4898	-4987	0	0
71	4898	-4987	0	0
72	4896	-4991	0	0
73	4894	-4997	0	0
74	4894	-4997	0	0
75	4894	-4997	0	0
76	4892	-5001	0	0
77	4892	-5001	0	0
78	4890	-5005	0	0
79	4890	-5005	0	0
80	4888	-5013	0	0
81	4888	-5013	0	0
82	4886	-5013	0	0
83	4884	-5017	0	0
84	4884	-5017	0	0
85	4882	-5023	0	0
86	4882	-5023	0	0
87	4880	-5029	0	0
88	4880	-5029	0	0
89	4878	-5031	0	0
90	4878	-5031	0	0
91	4878	-5031	0	0
92	4878	-5031	0	0
93	4878	-5031	0	0
94	4876	-5037	0	0
95	4874	-5043	0	0
96	4872	-5049	0	0
97	4870	-5051	0	0
98	4868	-5055	0	0
99	4866	-5057	0	0
100	4864	-5057	0	0
101	4864	-5057	0	0
102	4862	-5061	0	0
103	4860	-5065	0	0
104	4860	-5065	0	0
105	4858	-5067	0	0
106	4856	-5069	0	0
107	4856	-5069	0	0
108	4854	-5073	0	0
109	4854	-5073	0	0
110	4854	-5073	0	0
111	4854	-5073	0	0
112	4852	-5073	0	0
113	4852	-5073	0	0
114	4850	-5079	0	0
115	4848	-5083	0	0
116	4846	-5087	0	0
117	4844	-5089	0	0
118	4844	-5089	0	0
119	4844	-5089	0	0
120	4844	-5089	0	0
121	4842	-5093	0	0
122	4840	-5097	0	0
123	4838	-5101	0	0
124	4836	-5105	0	0
125	4834	-5109	0	0
126	4832	-5115	0	0
127	4830	-5117	0	0
128	4830	-5117	0	0
129	4828	-5121	0	0
130	4828	-5121	0	0
131	4828	-5121	0	0
132	4826	-5125	0	0
133	4824	-5131	0	0
134	4822	-5133	0	0
135	4820	-5137	0	0
136	4818	-5141	0	0
137	4818	-5141	0	0
138	4818	-5141	0	0
139	4816	-5143	0	0
140	4816	-5143	0	0
141	4816	-5143	0	0
142	4816	-5143	0	0
143	4816	-5143	0	0
144	4816	-5143	0	0
145	4814	-5143	0	0
146	4812	-5147	0	0
147	4812	-5147	0	0
148	4810	-5147	0	0
149	4808	-5151	0	0
150	4806	-5153	0	0
151	4804	-5155	0	0
152	4804	-5155	0	0
153	4802	-5155	0	0
154	4800	-5157	0	0
155	4800	-5157	0	0
156	4800	-5157	0	0
157	4798	-5161	0	0
158	4798	-5161	0	0
159	4796	-5163	0	0
160	4796	-5163	0	0
161	4796	-5163	0	0
162	4796	-5163	0	0
163	4796	-5163	0	0
164	4796	-5163	0	0
165	4796	-5163	0	0
166	4796	-5163	0	0
167	4796	-5163	0	0
168	4796	-5163	0	0
169	4794	-5167	0	0
170	4792	-5173	0	0
171	4790	-5181	0	0
172	4788	-5187	0	0
173	4788	-5187	0	0
174	4786	-5191	0	0
175	4786	-5191	0	0
176	4784	-5195	0	0
177	4784	-5195	0	0
178	4782	-5195	0	0
179	4782	-5195	0	0
180	4780	-5199	0	0
181	4780	-5199	0	0
182	4780	-5199	0	0
183	4778	-5203	0	0
184	4778	-5203	0	0
185	4778	-5203	0	0
186	4776	-5207	0	0
187	4776	-5207	0	0
188	4776	-5207	0	0
189	4774	-5211	0	0
190	4774	-5211	0	0
191	4772	-5217	0	0
192	4770	-5223	0	0
193	4770	-5223	0	0
194	4770	-5223	0	0
195	4770	-5223	0	0
196	4770	-5223	0	0
197	4770	-5223	0	0
198	4770	-5223	0	0
199	4770	-5223	0	0
200	4768	-5231	0	0
201	4766	-5237	0	0
202	4766	-5237	0	0
203	4766	-5237	0	0
204	4766	-5237	0	0
205	4766	-5237	0	0
206	4764	-5241	0	0
207	4762	-5247	0	0
208	4760	-5253	0	0
209	4760	-5253	0	0
210	4760	-5253	0	0
211	4760	-5253	0	0
212	4758	-5259	0	0
213	4756	-5263	0	0
214	4756	-5263	0	0
215	4756	-5263	0	0
216	4756	-5263	0	0
217	4756	-5263	0	0
218	4756	-5263	0	0
219	4754	-5263	0	0
220	4752	-5265	0	0
221	4752	-5265	0	0
222	4752	-5265	0	0
223	4750	-5267	0	0
224	4748	-5271	0	0
225	4748	-5271	0	0
226	4746	-5275	0	0
227	4746	-5275	0	0
228	4746	-5275	0	0
229	4744	-5281	0	0
230	4742	-5287	0	0
231	4740	-5291	0	0
232	4738	-5297	0	0
233	4738	-5297	0	0
234	4736	-5303	0	0
235	4736	-5303	0	0
236	4736	-5303	0	0
237	4734	-5309	0	0
238	4732	-5313	0	0
239	4730	-5313	0	0
240	4728	-5315	0	0
241	4726	-5321	0	0
242	4724	-5325	0	0
243	4724	-5325	0	0
244	4722	-5327	0	0
245	4720	-5333	0	0
246	4718	-5339	0	0
247	4718	-5339	0	0
248	4718	-5339	0	0
249	4718	-5339	0	0
250	4718	-5339	0	0
251	4716	-5343	0	0
252	4716	-5343	0	0
253	4716	-5343	0	0
254	4716	-5343	0	0
255	4714	-5343	0	0
256	4714	-5343	0	0
257	4712	-5345	0	0
258	4712	-5345	0	0
259	4710	-5345	0	0
260	4710	-5345	0	0
261	4708	-5349	0	0
262	4706	-5355	0	0
263	4706	-5355	0	0
264	4704	-5357	0	0
265	4704	-5357	0	0
266	4704	-5357	0	0
267	4702	-5361	0	0
268	4700	-5361	0	0
269	4698	-5365	0	0
270	4698	-5365	0	0
271	4698	-5365	0	0
272	4696	-5371	0	0
273	4694	-5373	0	0
274	4694	-5373	0	0
275	4694	-5373	0	0
276	4692	-5381	0	0
277	4690	-5381	0	0
278	4688	-5387	0	0
279	4688	-5387	0	0
280	4688	-5387	0	0
281	4688	-5387	0	0
282	4686	-5391	0	0
283	4686	-5391	0	0
284	4684	-5393	0	0
285	4684	-5393	0	0
286	4682	-5399	0	0
287	4682	-5399	0	0
288	4682	-5399	0	0
289	4680	-5401	0	0
290	4680	-5401	0	0
291	4678	-5403	0	0
292	4676	-5407	0	0
293	4676	-5407	0	0
294	4676	-5407	0	0
295	4674	-5411	0	0
296	4672	-5415	0	0
297	4670	-5423	0	0
298	4670	-5423	0	0
299	4670	-5423	0	0
300	4668	-5427	0	0
301	4666	-5431	0	0
302	4666	-5431	0	0
303	4666	-5431	0	0
304	4664	-5435	0	0
305	4662	-5439	0	0
306	4662	-5439	0	0
307	4662	-5439	0	0
308	4660	-5439	0	0
309	4660	-5439	0	0
