Simulated by ISING, VERSION 1
filename = result_of_ISING_1
step = 1500000
mutual_coefficient = 1
temperature = 1
STEP	MAGNETISM	ENERGY	1ST_STD_ERROR	2ND_STD_ERROR
0	4949	-4880	0	0
1	4947	-4884	0	0
2	4945	-4890	0	0
3	4943	-4894	0	0
4	4943	-4894	0	0
5	4941	-4898	0	0
6	4939	-4904	0	0
7	4939	-4904	0	0
8	4939	-4904	0	0
9	4939	-4904	0	0
10	4939	-4904	0	0
11	4939	-4904	0	0
12	4937	-4910	0	0
13	4935	-4910	0	0
14	4933	-4912	0	0
15	4933	-4912	0	0
16	4931	-4916	0	0
17	4929	-4922	0	0
18	4927	-4924	0	0
19	4925	-4928	0	0
20	4925	-4928	0	0
21	4923	-4932	0	0
22	4921	-4938	0	0
23	4921	-4938	0	0
24	4921	-4938	0	0
25	4919	-4944	0	0
26	4919	-4944	0	0
27	4919	-4944	0	0
28	4917	-4948	0	0
29	4915	-4952	0	0
30	4915	-4952	0	0
31	4915	-4952	0	0
32	4915	-4952	0	0
33	4915	-4952	0	0
34	4915	-4952	0	0
35	4915	-4952	0	0
36	4913	-4956	0	0
37	4911	-4962	0	0
38	4911	-4962	0	0
39	4911	-4962	0	0
40	4909	-4964	0	0
41	4907	-4966	0	0
42	4905	-4972	0	0
43	4903	-4976	0	0
44	4901	-4978	0	0
45	4901	-4978	0	0
46	4901	-4978	0	0
47	4899	-4982	0	0
48	4897	-4982	0	0
49	4895	-4990	0	0
50	4895	-4990	0	0
51	4893	-4996	0	0
52	4893	-4996	0	0
53	4893	-4996	0	0
54	4893	-4996	0	0
55	4893	-4996	0	0
56	4891	-5004	0	0
57	4891	-5004	0	0
58	4891	-5004	0	0
59	4889	-5006	0	0
60	4889	-5006	0	0
61	4889	-5006	0	0
62	4889	-5006	0	0
63	4887	-5012	0	0
64	4885	-5014	0	0
65	4883	-5016	0	0
66	4883	-5016	0	0
67	4883	-5016	0	0
68	4881	-5018	0	0
69	4879	-5020	0	0
70	4877	-5022	0	0
71	4875	-5028	0	0
72	4875	-5028	0	0
73	4873	-5030	0	0
74	4871	-5030	0	0
75	4869	-5036	0	0
76	4869	-5036	0	0
77	4867	-5044	0	0
78	4867	-5044	0	0
79	4867	-5044	0	0
80	4865	-5046	0	0
81	4863	-5048	0	0
82	4861	-5054	0	0
83	4859	-5058	0	0
84	4857	-5064	0	0
85	4857	-5064	0	0
86	4855	-5070	0	0
87	4855	-5070	0	0
88	4855	-5070	0	0
89	4853	-5074	0	0
90	4853	-5074	0	0
91	4853	-5074	0	0
92	4853	-5074	0	0
93	4853	-5074	0	0
94	4853	-5074	0	0
95	4851	-5080	0	0
96	4849	-5086	0	0
97	4849	-5086	0	0
98	4847	-5090	0	0
99	4845	-5094	0	0
100	4845	-5094	0	0
101	4843	-5096	0	0
102	4841	-5100	0	0
103	4839	-5104	0	0
104	4839	-5104	0	0
105	4839	-5104	0	0
106	4839	-5104	0	0
107	4839	-5104	0	0
108	4839	-5104	0	0
109	4837	-5108	0	0
110	4837	-5108	0	0
111	4835	-5112	0	0
112	4833	-5118	0	0
