200 simulations, 1000 steps.
Step	 DIST 
0	0.000000
1	0.523750
2	1.116450
3	1.552749
4	1.979232
5	2.455021
6	2.817461
7	3.319203
8	3.679176
9	4.411887
10	4.957766
11	5.208427
12	5.533475
13	6.084681
14	6.477333
15	6.956870
16	7.285957
17	7.692975
18	8.254461
19	8.814166
20	9.645316
21	9.752077
22	9.812321
23	10.465278
24	11.051657
25	11.367220
26	11.415750
27	11.793868
28	12.578032
29	12.694818
30	13.697966
31	14.470974
32	14.829241
33	15.346619
34	15.866494
35	16.380109
36	16.994865
37	17.844167
38	18.100220
39	18.661480
40	18.965112
41	19.194658
42	19.519522
43	19.572621
44	20.110884
45	20.344319
46	20.724192
47	21.273425
48	22.020801
49	22.352083
50	22.990363
51	23.399603
52	24.286135
53	24.790800
54	25.307957
55	25.290908
56	25.412989
57	25.247461
58	25.787376
59	26.105922
60	26.490735
61	26.663468
62	27.233790
63	27.817225
64	28.188856
65	29.069174
66	29.677439
67	30.239875
68	30.694203
69	30.925831
70	31.484499
71	32.045731
72	32.208590
73	32.995451
74	32.511191
75	32.553430
76	33.279499
77	33.657401
78	34.245402
79	34.866877
80	35.413634
81	35.992248
82	36.858064
83	36.783151
84	37.381472
85	37.737393
86	38.460858
87	38.834350
88	39.211712
89	39.384547
90	39.295303
91	39.782840
92	40.928191
93	41.836251
94	42.066396
95	42.223185
96	42.710089
97	43.219846
98	44.884017
99	45.091316
100	45.686868
101	46.529993
102	47.131871
103	47.408262
104	48.109162
105	49.467138
106	49.485113
107	50.289623
108	50.853215
109	51.667928
110	52.542936
111	52.491124
112	52.546352
113	53.095759
114	52.630535
115	53.465982
116	54.526340
117	53.971653
118	54.914446
119	55.670331
120	56.133219
121	56.506126
122	57.043725
123	57.900367
124	58.686056
125	59.902645
126	59.586021
127	60.153163
128	60.251084
129	60.744444
130	60.402075
131	61.838519
132	61.876582
133	62.053291
134	61.867140
135	63.122651
136	63.655379
137	64.347994
138	64.684434
139	64.897100
140	66.086246
141	66.264250
142	66.079209
143	67.384668
144	67.334510
145	67.694516
146	69.170906
147	69.566039
148	70.782848
149	72.196690
150	72.212075
151	72.705307
152	73.040730
153	73.502858
154	73.227309
155	73.837046
156	75.206241
157	75.464330
158	74.845597
159	75.060223
160	75.277582
161	74.943075
162	74.886291
163	74.419681
164	74.360475
165	73.566144
166	74.115619
167	73.741251
168	73.174552
169	72.748467
170	72.701955
171	73.589003
172	73.899656
173	74.576656
174	75.796654
175	75.688848
176	75.333645
177	74.953441
178	76.184778
179	77.465914
180	78.018290
181	78.200532
182	79.332025
183	80.165387
184	80.808327
185	80.396777
186	80.327968
187	80.356069
188	80.745631
189	80.253561
190	80.704065
191	81.341856
192	81.223444
193	83.673165
194	84.912890
195	85.953375
196	86.650898
197	87.508086
198	87.978539
199	88.326383
200	88.634760
201	90.079438
202	90.977309
203	92.740325
204	93.571909
205	94.370268
206	94.059808
207	93.967550
208	96.228676
209	96.071845
210	97.375605
211	97.482530
212	98.136368
213	99.178511
214	100.161874
215	99.958565
216	100.105072
217	99.923536
218	100.479733
219	100.641515
220	101.361301
221	101.921983
222	103.338523
223	103.734326
224	104.931426
225	105.880550
226	107.870740
227	109.311754
228	108.542986
229	109.761138
230	110.658110
231	111.562530
232	110.982186
233	110.877634
234	111.420064
235	112.867163
236	114.220896
237	115.494278
238	115.347666
239	116.565750
240	116.078404
241	116.711281
242	115.600697
243	116.848671
244	117.004591
245	117.977938
246	118.362300
247	118.821674
248	119.238330
249	119.809151
250	120.808269
251	120.654195
252	121.362557
253	123.005826
254	123.864014
255	124.238402
256	123.853348
257	122.300467
258	121.266186
259	122.019024
260	122.299898
261	124.345015
262	125.326914
263	126.266360
264	126.813670
265	127.478104
266	128.442258
267	128.491449
268	129.828353
269	131.253138
270	131.188525
271	131.565467
272	131.427797
273	132.498859
274	133.120283
275	132.738998
276	132.901100
277	133.670686
278	133.296372
279	132.064396
280	132.289743
281	132.141929
282	132.933070
283	133.128272
284	132.531440
285	133.450767
286	133.900462
287	134.441791
288	134.675430
289	133.514079
290	133.714808
291	132.930153
292	132.341735
293	134.247605
294	134.543227
295	133.488457
296	134.915903
297	134.689720
298	134.653618
299	135.155152
300	135.762613
301	136.776563
302	138.726829
303	139.603026
304	139.906678
305	140.310270
306	141.846392
307	144.156066
308	146.040421
309	145.373352
310	145.905774
311	146.681293
312	146.459149
313	145.153457
314	144.778735
315	145.109520
316	146.358459
317	147.069227
318	147.210872
319	147.527930
320	148.944163
321	150.856009
322	151.360197
323	151.549626
324	150.490021
325	150.483694
326	151.022187
327	151.815679
328	150.321394
329	149.026635
330	149.118324
331	148.377815
332	148.756397
333	149.300039
334	150.545497
335	150.461552
336	152.398948
337	153.168244
338	152.870424
339	154.451782
340	153.629679
341	154.075995
342	155.764295
343	155.310323
344	155.135543
345	156.229731
346	157.794834
347	156.528475
348	156.151715
349	157.523484
350	158.364713
351	159.567394
352	158.656877
353	158.402100
354	159.057072
355	159.773925
356	161.823925
357	161.989887
358	162.980271
359	163.141140
360	164.715947
361	166.616697
362	167.427471
363	167.903685
364	168.480855
365	166.899826
366	167.106409
367	166.501900
368	164.926407
369	166.387620
370	166.789760
371	167.675836
372	166.833014
373	167.113847
374	168.644074
375	171.134206
376	171.584107
377	171.751989
378	172.246938
379	171.937780
380	173.350165
381	171.646243
382	174.116312
383	175.156819
384	175.459068
385	175.511728
386	176.848812
387	178.091911
388	178.500798
389	179.616625
390	181.616533
391	181.394724
392	182.272549
393	182.696512
394	183.961996
395	186.342352
396	186.100409
397	186.657703
398	187.703601
399	187.035490
400	187.166531
401	186.487236
402	186.490430
403	185.844980
404	186.624144
405	186.270334
406	187.532827
407	188.130573
408	188.244230
409	188.318196
410	188.337186
411	188.870740
412	190.870774
413	191.075132
414	190.907548
415	191.628899
416	190.578148
417	190.501258
418	190.651889
419	191.087951
420	191.077368
421	191.021819
422	191.871169
423	192.760743
424	193.419392
425	194.434698
426	195.056461
427	193.745446
428	195.059112
429	195.962242
430	196.517967
431	198.459421
432	199.638504
433	197.654959
434	198.348755
435	198.745175
436	198.730634
437	200.061531
438	200.801235
